term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),0.0298,0.1131,-31.0479,0,0.0238,0.0371
ai_presence,1.1296,0.1937,0.6293,0.5291,0.7779,1.6635
periodpost_adoption,1.322,0.1965,1.4206,0.1554,0.8932,1.9313
log_churn,0.9984,0.0299,-0.0534,0.9574,0.9414,1.0585
log_files_changed,3.0183,0.0562,19.6477,0,2.7062,3.3736
log_commits,1.7055,0.0598,8.9275,0,1.5176,1.9186
log_lifetime,0.8754,0.0222,-5.9946,0,0.8379,0.9141
repotriggerdotdev/trigger.dev,0.6526,0.0793,-5.3791,0,0.5583,0.762
