repo,n_prs,ai_presence_pct,defect_rate_pct,median_churn,median_files,median_commits,median_lifetime_hrs
formbricks/formbricks,1861,89.1,37.9,84,4,3,18.9
triggerdotdev/trigger.dev,1419,98.9,28,79,3,2,1.5
