term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),0.0437,0.1333,-23.4924,0,0.0335,0.0565
log_ai_count,1.249,0.076,2.9269,0.0034,1.0765,1.4501
log_churn,0.8937,0.0382,-2.9387,0.0033,0.8287,0.9628
log_files_changed,4.1806,0.0795,17.9899,0,3.5843,4.8957
log_commits,1.3141,0.0888,3.0774,0.0021,1.1047,1.5647
log_lifetime,0.8584,0.0291,-5.2444,0,0.8103,0.9084
repotriggerdotdev/trigger.dev,0.6918,0.0957,-3.8506,1e-4,0.5732,0.8341
