term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),0.0382,0.219,-14.9096,0,0.0246,0.0581
ai_presence,1.1997,0.2028,0.8976,0.3694,0.8115,1.7988
log_churn,0.9115,0.0375,-2.4709,0.0135,0.8465,0.9807
log_files_changed,4.1786,0.0794,18.0086,0,3.5833,4.8923
log_commits,1.4559,0.0808,4.65,0,1.2435,1.7069
log_lifetime,0.8662,0.0289,-4.9779,0,0.8182,0.9162
repotriggerdotdev/trigger.dev,0.6893,0.0972,-3.8268,1e-4,0.5694,0.8337
